date,time,cpu,memory
2020-07-04,01:00:00,0.09413333333335136,0.47796847231611883
2020-07-04,02:00:00,0.09879999999997588,0.47821642694345823
2020-07-04,03:00:00,0.10673333333331413,0.4781384983462944
2020-07-04,04:00:00,0.10113333333332529,0.4780534853312066
2020-07-04,05:00:00,0.10173129870737466,0.47821086061508944
2020-07-04,06:00:00,0.11733333333333631,0.47857874431728475
2020-07-04,07:00:00,0.08919999999996037,0.4783824047348201
2020-07-04,08:00:00,0.09586666666666149,0.47825336712263333
2020-07-04,09:00:00,0.09753333333334238,0.47832522336157657
2020-07-04,10:00:00,0.10340000000005319,0.47844110419761887
2020-07-04,11:00:00,0.08906666666663585,0.47835811530193795
2020-07-04,12:00:00,0.08746666666671007,0.4781799927941349
2020-07-04,13:00:00,0.08999999999999014,0.4784492006752462
